,name,location.lat,location.lng,location.postalCode
0,Absolute Comedy,43.70851851177598,-79.3987000986895,M4P 2C8
2,The Lot Comedy Club,43.64638374221354,-79.41971946836559,
4,Allicia's Pad,43.765812,-79.504497,
6,Sketch Comedy Lounge,43.6494239438809,-79.3952087710712,
10,Yuk Yuk's Stand-Up Comedy,43.841459,-79.026784,
13,church of scientology,43.667340977955035,-79.38544370814638,
16,Ozz,43.660451,-79.425087,
20,Yuk Yuk's Stand-Up Comedy,43.789048983514505,-79.53319386436506,
21,The Redwood,43.671226,-79.327212,M4L 1Y7
22,The Underground Comedy Club,43.658891532678524,-79.35128325510713,M4M 1G4
23,The HBC,43.6599240747891,-79.40372943878174,
26,The Corner Comedy Club,43.65012221361769,-79.39098649189006,
27,Vape on the Lake,43.600208682705436,-79.50696281577073,M8V 1J8
