,name,location.postalCode
0,Absolute Comedy,M4P
1,Annex Improv,M5S
2,Bad Dog Theatre,M6G
3,Cheap Laughs Monday Open-Mic Stand-up Comedy Night,M5E
4,Comedy Bar,M6H
5,Comedy Lounge,M5V
6,Eton House Tavern,M4J
7,Granite Lounge,M5V
8,Hawaii Bar,M6H
9,MB The Place To Be,M6A
10,Second City,M5V
11,Sketch Comedy Lounge,M5VÊ
12,The Corner Comedy Club,M5T 
13,The Corner Comedy Club East,M4M
14,The Lot Comedy Club,M6J
15,The Redwood,M4L
16,The Second City - Toronto,M5V
17,The Smiling Buddha,M6H
18,Underground Cafe & Social Club,M4M
19,Vapor Central,M4Y
20,Yuk Yuk's Stand-Up Comedy,M5VÊ
