,Neighbourhood,Population density per square kilometre,Youth (15-24 years),Without employment income,Without after-tax income,5 or more persons,Immigrants,Total visible minority population,Assault
0,Agincourt North,3929,3705,9670,1365,1645,19995,26365,69
1,Agincourt South-Malvern West,3034,3360,7355,1105,1175,15095,20155,132
2,Alderwood,2435,1235,2840,335,390,3970,2490,37
3,Annex,10863,3750,6625,620,390,8270,7270,275
4,Banbury-Don Mills,2775,2730,7840,1000,675,13195,12700,83
5,Bathurst Manor,3377,1940,4010,585,575,8020,5420,58
6,Bay Street Corridor,14097,6860,8755,1045,145,10455,15925,516
7,Bayview Village,4195,2505,6215,975,470,12625,14505,69
8,Bayview Woods-Steeles,3240,1635,4375,570,480,7535,8250,33
9,Bedford Park-Nortown,4209,3210,5350,875,1110,6805,4845,51
10,Beechborough-Greenbrook,3614,855,1885,310,225,3425,3760,52
11,Bendale,4011,4605,8950,1425,1465,15865,21075,216
12,Birchcliffe-Cliffside,3765,2440,5430,780,605,6080,5740,142
13,Black Creek,6282,3290,6975,1140,1260,12705,17435,281
14,Blake-Jones,8134,885,1975,305,265,2420,2960,56
15,Briar Hill-Belgravia,7791,1655,3570,580,485,8555,6500,86
16,Bridle Path-Sunnybrook-York Mills,1040,1425,2605,445,460,3150,2765,45
17,Broadview North,6764,1040,2905,335,190,4790,3135,62
18,Brookhaven-Amesbury,5045,2460,4775,860,780,9725,11630,88
19,Caledonia-Fairbank,6464,1220,2500,395,370,5285,3585,50
20,Casa Loma,5683,1080,2655,265,245,2885,1870,61
21,Centennial Scarborough,2479,1850,3210,565,590,4990,5810,46
22,Church-Yonge Corridor,23044,5060,6645,705,135,10935,12440,761
23,Clairlea-Birchmount,3632,3495,6805,1270,1195,13115,16110,184
24,Clanton Park,3979,1910,3675,625,665,7485,6305,82
25,Cliffcrest,2273,2145,4425,720,625,5835,6570,111
26,Corso Italia-Davenport,7478,1545,3480,505,455,6095,3545,89
27,Danforth,8554,920,2275,260,265,2855,2480,65
28,Danforth East York,7881,1450,3940,495,450,5575,5090,56
29,Don Valley Village,6441,3280,8020,1235,955,17865,19025,96
30,Dorset Park,4146,3155,6785,1170,1190,14685,18940,129
31,Dovercourt-Wallace Emerson-Junction,9819,3925,8515,1060,1065,14395,12275,256
32,Downsview-Roding-CFB,2337,4340,9835,1495,1520,19515,20070,357
33,Dufferin Grove,8540,1065,2570,300,290,4395,3630,79
34,East End-Danforth,8038,2210,4725,760,505,5920,6475,147
35,Edenbridge-Humber Valley,2840,1805,3855,500,480,5950,3230,32
36,Eglinton East,7051,3130,6510,1120,1075,13000,17375,153
37,Elms-Old Rexdale,3306,1440,2710,475,500,4725,6365,48
38,Englemount-Lawrence,6466,3030,5600,1010,1200,9785,8855,103
39,Eringate-Centennial-West Deane,2171,2405,4845,680,655,8190,5130,42
40,Etobicoke West Mall,6582,1460,2915,485,375,5805,4520,63
41,Flemingdon Park,9026,3060,6985,1335,1210,14030,17220,124
42,Forest Hill North,8054,1500,2655,410,435,4975,3570,41
43,Forest Hill South,4380,1355,2470,255,370,2755,1775,25
44,Glenfield-Jane Heights,5864,4520,9800,1520,1780,17790,23155,279
45,Greenwood-Coxwell,8582,1305,3425,445,420,4385,5625,114
